"X.AMRS.EPS.","X.GRWG.EPS.","U.STZ.EPS.","U.IIPR.EPS.","X.CARA.EPS.","X.TLRY.EPS.","X.SNDL.EPS.","X.CNTTQ.EPS."
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.33,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
0,0,4.53,0,0,0,0,0
